message,label
"Thank you for banking with Alinma. Check your balance in the official app, request 6622.",safe
"مبروك! ربحت 10,000 ريال من بنك Alinma. اضغط هنا للمطالبة: alinma-update.top",phishing
"Congratulations! You won SAR 1,200 from Alinma. Claim here: alinma-secure.xyz",phishing
Reminder: your Alinma credit card payment is due in 2 days.,safe
"Urgent الإنماء notice: suspicious transfer of SAR 10,000 detected, cancel here: bit.ly/verify-acc",phishing
Your الإنماء OTP is 7322. Do not share it with anyone.,safe
Reminder: your الإنماء credit card payment is due in 7 days.,safe
تنبيه: تم رصد نشاط غير معتاد على حسابك في بنك Alinma. حدّث بياناتك الآن: alinma-update.top,phishing
"Dear الإنماء customer, your account will be suspended today. Verify immediately: secure-alinma.info",phishing
Your الإنماء OTP is 5444. Do not share it with anyone.,safe
عزيزي عميل بنك الإنماء، حسابك سيتم إيقافه اليوم. يرجى التحقق فورًا عبر الرابط: alinma-update.top,phishing
"مبروك! ربحت 5,000 ريال من بنك الإنماء. اضغط هنا للمطالبة: bit.ly/verify-acc",phishing
Reminder: your الإنماء credit card payment is due in 5 days.,safe
شكرًا لتعاملكم مع Alinma. رصيدكم الحالي متاح عبر التطبيق الرسمي، رقم الطلب 7367.,safe
شكرًا لتعاملكم مع Alinma. رصيدكم الحالي متاح عبر التطبيق الرسمي، رقم الطلب 5873.,safe
شكرًا لتعاملكم مع الإنماء. رصيدكم الحالي متاح عبر التطبيق الرسمي، رقم الطلب 5298.,safe
"Dear Alinma customer, your account will be suspended today. Verify immediately: alinma-secure.xyz",phishing
"Dear Alinma customer, your account will be suspended today. Verify immediately: bit.ly/verify-acc",phishing
"SAR 25,000 was successfully transferred from your Alinma account. Ref 1480.",safe
"Congratulations! You won SAR 10,000 from الإنماء. Claim here: alinma-secure.xyz",phishing
"مبروك! ربحت 25,000 ريال من بنك الإنماء. اضغط هنا للمطالبة: secure-alinma.info",phishing
"Thank you for banking with الإنماء. Check your balance in the official app, request 3422.",safe
رمز التحقق الخاص بك من بنك الإنماء هو 8822. لا تشاركه مع أحد.,safe
Reminder: your الإنماء credit card payment is due in 1 days.,safe
شكرًا لتعاملكم مع الإنماء. رصيدكم الحالي متاح عبر التطبيق الرسمي، رقم الطلب 6110.,safe
بنك Alinma: سيتم حظر بطاقتك خلال 24 ساعة ما لم تؤكد هويتك عبر: alinma-secure.xyz,phishing
رمز التحقق الخاص بك من بنك الإنماء هو 5676. لا تشاركه مع أحد.,safe
"Thank you for banking with Alinma. Check your balance in the official app, request 4575.",safe
Alinma Alert: your card will be blocked in 24h unless you confirm your identity: alinma-update.top,phishing
"SAR 25,000 was successfully transferred from your Alinma account. Ref 5896.",safe
Your Alinma OTP is 7337. Do not share it with anyone.,safe
شكرًا لتعاملكم مع Alinma. رصيدكم الحالي متاح عبر التطبيق الرسمي، رقم الطلب 7636.,safe
"مبروك! ربحت 5,000 ريال من بنك Alinma. اضغط هنا للمطالبة: alinma-secure.xyz",phishing
بنك Alinma: سيتم حظر بطاقتك خلال 24 ساعة ما لم تؤكد هويتك عبر: secure-alinma.info,phishing
تنبيه: تسجيل دخول جديد إلى حسابك في الإنماء من جهاز معروف بتاريخ اليوم.,safe
"Congratulations! You won SAR 10,000 from الإنماء. Claim here: alinma-update.top",phishing
"Thank you for banking with Alinma. Check your balance in the official app, request 7168.",safe
"Thank you for banking with Alinma. Check your balance in the official app, request 2676.",safe
"رسالة عاجلة من Alinma: يوجد تحويل مشبوه بقيمة 5,000 ريال، أوقفه الآن من هنا: alinma-secure.xyz",phishing
"Thank you for banking with Alinma. Check your balance in the official app, request 5895.",safe
"مبروك! ربحت 10,000 ريال من بنك Alinma. اضغط هنا للمطالبة: secure-alinma.info",phishing
مبروك! ربحت 500 ريال من بنك Alinma. اضغط هنا للمطالبة: bit.ly/verify-acc,phishing
"رسالة عاجلة من الإنماء: يوجد تحويل مشبوه بقيمة 25,000 ريال، أوقفه الآن من هنا: alinma-secure.xyz",phishing
"Urgent Alinma notice: suspicious transfer of SAR 10,000 detected, cancel here: secure-alinma.info",phishing
"مبروك! ربحت 10,000 ريال من بنك الإنماء. اضغط هنا للمطالبة: alinma-update.top",phishing
Unusual activity detected on your Alinma account. Update your info now: alinma-secure.xyz,phishing
Your الإنماء OTP is 3293. Do not share it with anyone.,safe
Reminder: your Alinma credit card payment is due in 6 days.,safe
"SAR 5,000 was successfully transferred from your Alinma account. Ref 2223.",safe
رمز التحقق الخاص بك من بنك Alinma هو 5350. لا تشاركه مع أحد.,safe
شكرًا لتعاملكم مع Alinma. رصيدكم الحالي متاح عبر التطبيق الرسمي، رقم الطلب 4203.,safe
"تم تحويل 1,200 ريال من حسابك بنجاح في الإنماء. الرقم المرجعي 1372.",safe
"تم تحويل 1,200 ريال من حسابك بنجاح في الإنماء. الرقم المرجعي 7590.",safe
عزيزي عميل بنك Alinma، حسابك سيتم إيقافه اليوم. يرجى التحقق فورًا عبر الرابط: alinma-secure.xyz,phishing
بنك الإنماء: سيتم حظر بطاقتك خلال 24 ساعة ما لم تؤكد هويتك عبر: secure-alinma.info,phishing
شكرًا لتعاملكم مع الإنماء. رصيدكم الحالي متاح عبر التطبيق الرسمي، رقم الطلب 2931.,safe
"Thank you for banking with Alinma. Check your balance in the official app, request 4511.",safe
"Thank you for banking with Alinma. Check your balance in the official app, request 2425.",safe
شكرًا لتعاملكم مع Alinma. رصيدكم الحالي متاح عبر التطبيق الرسمي، رقم الطلب 7815.,safe
"مبروك! ربحت 5,000 ريال من بنك الإنماء. اضغط هنا للمطالبة: alinma-update.top",phishing
"Thank you for banking with Alinma. Check your balance in the official app, request 1331.",safe
شكرًا لتعاملكم مع Alinma. رصيدكم الحالي متاح عبر التطبيق الرسمي، رقم الطلب 6399.,safe
Your Alinma OTP is 3545. Do not share it with anyone.,safe
عزيزي عميل بنك Alinma، حسابك سيتم إيقافه اليوم. يرجى التحقق فورًا عبر الرابط: alinma-update.top,phishing
"مبروك! ربحت 10,000 ريال من بنك Alinma. اضغط هنا للمطالبة: bit.ly/verify-acc",phishing
"Thank you for banking with Alinma. Check your balance in the official app, request 1920.",safe
"رسالة عاجلة من Alinma: يوجد تحويل مشبوه بقيمة 10,000 ريال، أوقفه الآن من هنا: alinma-update.top",phishing
تم تحويل 500 ريال من حسابك بنجاح في Alinma. الرقم المرجعي 9802.,safe
رمز التحقق الخاص بك من بنك الإنماء هو 3793. لا تشاركه مع أحد.,safe
"رسالة عاجلة من الإنماء: يوجد تحويل مشبوه بقيمة 25,000 ريال، أوقفه الآن من هنا: alinma-update.top",phishing
"Congratulations! You won SAR 10,000 from Alinma. Claim here: alinma-secure.xyz",phishing
Your الإنماء OTP is 9368. Do not share it with anyone.,safe
Your الإنماء OTP is 7024. Do not share it with anyone.,safe
الإنماء Alert: your card will be blocked in 24h unless you confirm your identity: alinma-update.top,phishing
Your الإنماء OTP is 9083. Do not share it with anyone.,safe
Alert: a new login to your Alinma account was detected from a known device today.,safe
"Thank you for banking with Alinma. Check your balance in the official app, request 2843.",safe
"مبروك! ربحت 5,000 ريال من بنك الإنماء. اضغط هنا للمطالبة: alinma-secure.xyz",phishing
عزيزي عميل بنك Alinma، حسابك سيتم إيقافه اليوم. يرجى التحقق فورًا عبر الرابط: bit.ly/verify-acc,phishing
تم تحويل 500 ريال من حسابك بنجاح في Alinma. الرقم المرجعي 2130.,safe
"Thank you for banking with Alinma. Check your balance in the official app, request 7828.",safe
"Congratulations! You won SAR 5,000 from Alinma. Claim here: bit.ly/verify-acc",phishing
"Congratulations! You won SAR 5,000 from الإنماء. Claim here: secure-alinma.info",phishing
"SAR 1,200 was successfully transferred from your الإنماء account. Ref 5060.",safe
مبروك! ربحت 500 ريال من بنك الإنماء. اضغط هنا للمطالبة: secure-alinma.info,phishing
"Urgent Alinma notice: suspicious transfer of SAR 5,000 detected, cancel here: secure-alinma.info",phishing
"Thank you for banking with الإنماء. Check your balance in the official app, request 4463.",safe
"Congratulations! You won SAR 10,000 from الإنماء. Claim here: bit.ly/verify-acc",phishing
"Congratulations! You won SAR 5,000 from الإنماء. Claim here: alinma-secure.xyz",phishing
Your الإنماء OTP is 1225. Do not share it with anyone.,safe
شكرًا لتعاملكم مع الإنماء. رصيدكم الحالي متاح عبر التطبيق الرسمي، رقم الطلب 6225.,safe
"Urgent الإنماء notice: suspicious transfer of SAR 500 detected, cancel here: bit.ly/verify-acc",phishing
رمز التحقق الخاص بك من بنك Alinma هو 1517. لا تشاركه مع أحد.,safe
Reminder: your الإنماء credit card payment is due in 3 days.,safe
Your Alinma OTP is 5308. Do not share it with anyone.,safe
"تم تحويل 25,000 ريال من حسابك بنجاح في الإنماء. الرقم المرجعي 1924.",safe
رمز التحقق الخاص بك من بنك الإنماء هو 2795. لا تشاركه مع أحد.,safe
Your الإنماء OTP is 6759. Do not share it with anyone.,safe
Congratulations! You won SAR 500 from Alinma. Claim here: secure-alinma.info,phishing
رمز التحقق الخاص بك من بنك الإنماء هو 4050. لا تشاركه مع أحد.,safe
"تم تحويل 25,000 ريال من حسابك بنجاح في الإنماء. الرقم المرجعي 3695.",safe
رمز التحقق الخاص بك من بنك Alinma هو 4340. لا تشاركه مع أحد.,safe
رمز التحقق الخاص بك من بنك Alinma هو 3875. لا تشاركه مع أحد.,safe
"Dear الإنماء customer, your account will be suspended today. Verify immediately: alinma-secure.xyz",phishing
رمز التحقق الخاص بك من بنك الإنماء هو 6489. لا تشاركه مع أحد.,safe
رمز التحقق الخاص بك من بنك Alinma هو 3399. لا تشاركه مع أحد.,safe
"رسالة عاجلة من Alinma: يوجد تحويل مشبوه بقيمة 25,000 ريال، أوقفه الآن من هنا: bit.ly/verify-acc",phishing
تم تحويل 500 ريال من حسابك بنجاح في الإنماء. الرقم المرجعي 8314.,safe
Congratulations! You won SAR 500 from الإنماء. Claim here: alinma-update.top,phishing
"تم تحويل 25,000 ريال من حسابك بنجاح في Alinma. الرقم المرجعي 2192.",safe
شكرًا لتعاملكم مع Alinma. رصيدكم الحالي متاح عبر التطبيق الرسمي، رقم الطلب 5922.,safe
تذكير: موعد سداد بطاقتك الائتمانية لدى Alinma خلال 5 أيام.,safe
"SAR 5,000 was successfully transferred from your Alinma account. Ref 6345.",safe
Reminder: your الإنماء credit card payment is due in 4 days.,safe
SAR 500 was successfully transferred from your الإنماء account. Ref 5835.,safe
"Thank you for banking with الإنماء. Check your balance in the official app, request 1699.",safe
Your Alinma OTP is 9872. Do not share it with anyone.,safe
"SAR 1,200 was successfully transferred from your Alinma account. Ref 5066.",safe
"مبروك! ربحت 10,000 ريال من بنك الإنماء. اضغط هنا للمطالبة: alinma-secure.xyz",phishing
"Urgent الإنماء notice: suspicious transfer of SAR 25,000 detected, cancel here: alinma-update.top",phishing
"SAR 25,000 was successfully transferred from your Alinma account. Ref 1999.",safe
رمز التحقق الخاص بك من بنك Alinma هو 5742. لا تشاركه مع أحد.,safe
"تم تحويل 1,200 ريال من حسابك بنجاح في Alinma. الرقم المرجعي 7498.",safe
Your Alinma OTP is 5546. Do not share it with anyone.,safe
"رسالة عاجلة من Alinma: يوجد تحويل مشبوه بقيمة 5,000 ريال، أوقفه الآن من هنا: bit.ly/verify-acc",phishing
"Congratulations! You won SAR 5,000 from Alinma. Claim here: alinma-secure.xyz",phishing
"SAR 10,000 was successfully transferred from your الإنماء account. Ref 4879.",safe
"تم تحويل 1,200 ريال من حسابك بنجاح في الإنماء. الرقم المرجعي 1742.",safe
عزيزي عميل بنك Alinma، حسابك سيتم إيقافه اليوم. يرجى التحقق فورًا عبر الرابط: secure-alinma.info,phishing
Your Alinma OTP is 1901. Do not share it with anyone.,safe
Your Alinma OTP is 5537. Do not share it with anyone.,safe
رمز التحقق الخاص بك من بنك Alinma هو 9498. لا تشاركه مع أحد.,safe
"Urgent Alinma notice: suspicious transfer of SAR 5,000 detected, cancel here: alinma-update.top",phishing
تنبيه: تم رصد نشاط غير معتاد على حسابك في بنك الإنماء. حدّث بياناتك الآن: bit.ly/verify-acc,phishing
"تم تحويل 1,200 ريال من حسابك بنجاح في Alinma. الرقم المرجعي 2295.",safe
"Congratulations! You won SAR 25,000 from الإنماء. Claim here: secure-alinma.info",phishing
"Dear الإنماء customer, your account will be suspended today. Verify immediately: alinma-update.top",phishing
"Thank you for banking with الإنماء. Check your balance in the official app, request 5923.",safe
Reminder: your Alinma credit card payment is due in 7 days.,safe
رمز التحقق الخاص بك من بنك Alinma هو 4310. لا تشاركه مع أحد.,safe
"Thank you for banking with الإنماء. Check your balance in the official app, request 9303.",safe
تذكير: موعد سداد بطاقتك الائتمانية لدى الإنماء خلال 2 أيام.,safe
شكرًا لتعاملكم مع الإنماء. رصيدكم الحالي متاح عبر التطبيق الرسمي، رقم الطلب 8121.,safe
"Thank you for banking with الإنماء. Check your balance in the official app, request 1541.",safe
"Thank you for banking with Alinma. Check your balance in the official app, request 7857.",safe
Unusual activity detected on your Alinma account. Update your info now: alinma-update.top,phishing
"تم تحويل 10,000 ريال من حسابك بنجاح في الإنماء. الرقم المرجعي 6455.",safe
رمز التحقق الخاص بك من بنك Alinma هو 6194. لا تشاركه مع أحد.,safe
تم تحويل 500 ريال من حسابك بنجاح في Alinma. الرقم المرجعي 3161.,safe
"Urgent الإنماء notice: suspicious transfer of SAR 5,000 detected, cancel here: alinma-update.top",phishing
عزيزي عميل بنك الإنماء، حسابك سيتم إيقافه اليوم. يرجى التحقق فورًا عبر الرابط: alinma-secure.xyz,phishing
"Congratulations! You won SAR 1,200 from الإنماء. Claim here: secure-alinma.info",phishing
رسالة عاجلة من الإنماء: يوجد تحويل مشبوه بقيمة 500 ريال، أوقفه الآن من هنا: alinma-update.top,phishing
"تم تحويل 5,000 ريال من حسابك بنجاح في Alinma. الرقم المرجعي 6892.",safe
الإنماء Alert: your card will be blocked in 24h unless you confirm your identity: secure-alinma.info,phishing
"Congratulations! You won SAR 1,200 from الإنماء. Claim here: bit.ly/verify-acc",phishing
"Urgent Alinma notice: suspicious transfer of SAR 10,000 detected, cancel here: alinma-update.top",phishing
Your Alinma OTP is 8483. Do not share it with anyone.,safe
"SAR 25,000 was successfully transferred from your الإنماء account. Ref 2228.",safe
"Congratulations! You won SAR 1,200 from الإنماء. Claim here: alinma-secure.xyz",phishing
"SAR 10,000 was successfully transferred from your Alinma account. Ref 7868.",safe
"رسالة عاجلة من الإنماء: يوجد تحويل مشبوه بقيمة 10,000 ريال، أوقفه الآن من هنا: alinma-secure.xyz",phishing
"مبروك! ربحت 1,200 ريال من بنك Alinma. اضغط هنا للمطالبة: alinma-update.top",phishing
"مبروك! ربحت 5,000 ريال من بنك Alinma. اضغط هنا للمطالبة: secure-alinma.info",phishing
"Urgent الإنماء notice: suspicious transfer of SAR 10,000 detected, cancel here: secure-alinma.info",phishing
الإنماء Alert: your card will be blocked in 24h unless you confirm your identity: bit.ly/verify-acc,phishing
"تم تحويل 1,200 ريال من حسابك بنجاح في Alinma. الرقم المرجعي 6126.",safe
"تم تحويل 10,000 ريال من حسابك بنجاح في Alinma. الرقم المرجعي 9835.",safe
رمز التحقق الخاص بك من بنك Alinma هو 2421. لا تشاركه مع أحد.,safe
"رسالة عاجلة من Alinma: يوجد تحويل مشبوه بقيمة 10,000 ريال، أوقفه الآن من هنا: alinma-secure.xyz",phishing
"Thank you for banking with Alinma. Check your balance in the official app, request 9054.",safe
"Thank you for banking with Alinma. Check your balance in the official app, request 6730.",safe
شكرًا لتعاملكم مع Alinma. رصيدكم الحالي متاح عبر التطبيق الرسمي، رقم الطلب 2260.,safe
شكرًا لتعاملكم مع الإنماء. رصيدكم الحالي متاح عبر التطبيق الرسمي، رقم الطلب 3910.,safe
"SAR 10,000 was successfully transferred from your الإنماء account. Ref 6145.",safe
شكرًا لتعاملكم مع الإنماء. رصيدكم الحالي متاح عبر التطبيق الرسمي، رقم الطلب 1440.,safe
Alinma Alert: your card will be blocked in 24h unless you confirm your identity: bit.ly/verify-acc,phishing
"Urgent Alinma notice: suspicious transfer of SAR 5,000 detected, cancel here: bit.ly/verify-acc",phishing
Your الإنماء OTP is 3466. Do not share it with anyone.,safe
Unusual activity detected on your Alinma account. Update your info now: bit.ly/verify-acc,phishing
"SAR 10,000 was successfully transferred from your Alinma account. Ref 6636.",safe
"تم تحويل 10,000 ريال من حسابك بنجاح في Alinma. الرقم المرجعي 7363.",safe
تذكير: موعد سداد بطاقتك الائتمانية لدى Alinma خلال 6 أيام.,safe
"SAR 10,000 was successfully transferred from your Alinma account. Ref 3946.",safe
"SAR 5,000 was successfully transferred from your Alinma account. Ref 3885.",safe
شكرًا لتعاملكم مع الإنماء. رصيدكم الحالي متاح عبر التطبيق الرسمي، رقم الطلب 2025.,safe
Your Alinma OTP is 5625. Do not share it with anyone.,safe
رمز التحقق الخاص بك من بنك الإنماء هو 7284. لا تشاركه مع أحد.,safe
شكرًا لتعاملكم مع الإنماء. رصيدكم الحالي متاح عبر التطبيق الرسمي، رقم الطلب 7370.,safe
Reminder: your Alinma credit card payment is due in 4 days.,safe
Your الإنماء OTP is 8210. Do not share it with anyone.,safe
Your الإنماء OTP is 7520. Do not share it with anyone.,safe
"Urgent Alinma notice: suspicious transfer of SAR 500 detected, cancel here: alinma-update.top",phishing
مبروك! ربحت 500 ريال من بنك Alinma. اضغط هنا للمطالبة: secure-alinma.info,phishing
تنبيه: تم رصد نشاط غير معتاد على حسابك في بنك Alinma. حدّث بياناتك الآن: bit.ly/verify-acc,phishing
Your الإنماء OTP is 9691. Do not share it with anyone.,safe
رمز التحقق الخاص بك من بنك الإنماء هو 4871. لا تشاركه مع أحد.,safe
شكرًا لتعاملكم مع الإنماء. رصيدكم الحالي متاح عبر التطبيق الرسمي، رقم الطلب 3280.,safe
"Congratulations! You won SAR 25,000 from Alinma. Claim here: alinma-update.top",phishing
رمز التحقق الخاص بك من بنك Alinma هو 2845. لا تشاركه مع أحد.,safe
شكرًا لتعاملكم مع Alinma. رصيدكم الحالي متاح عبر التطبيق الرسمي، رقم الطلب 9755.,safe
Your الإنماء OTP is 6680. Do not share it with anyone.,safe
تنبيه: تسجيل دخول جديد إلى حسابك في Alinma من جهاز معروف بتاريخ اليوم.,safe
"Thank you for banking with الإنماء. Check your balance in the official app, request 3846.",safe
Congratulations! You won SAR 500 from Alinma. Claim here: alinma-secure.xyz,phishing
"Thank you for banking with Alinma. Check your balance in the official app, request 1807.",safe
"Thank you for banking with Alinma. Check your balance in the official app, request 3029.",safe
"Thank you for banking with Alinma. Check your balance in the official app, request 1145.",safe
Your Alinma OTP is 5005. Do not share it with anyone.,safe
تذكير: موعد سداد بطاقتك الائتمانية لدى الإنماء خلال 7 أيام.,safe
"Thank you for banking with Alinma. Check your balance in the official app, request 5525.",safe
شكرًا لتعاملكم مع الإنماء. رصيدكم الحالي متاح عبر التطبيق الرسمي، رقم الطلب 6432.,safe
رمز التحقق الخاص بك من بنك Alinma هو 5715. لا تشاركه مع أحد.,safe
"SAR 1,200 was successfully transferred from your الإنماء account. Ref 3110.",safe
"Urgent Alinma notice: suspicious transfer of SAR 1,200 detected, cancel here: alinma-update.top",phishing
تم تحويل 500 ريال من حسابك بنجاح في Alinma. الرقم المرجعي 5169.,safe
تذكير: موعد سداد بطاقتك الائتمانية لدى الإنماء خلال 5 أيام.,safe
"Congratulations! You won SAR 10,000 from Alinma. Claim here: alinma-update.top",phishing
Alinma Alert: your card will be blocked in 24h unless you confirm your identity: alinma-secure.xyz,phishing
"تم تحويل 1,200 ريال من حسابك بنجاح في الإنماء. الرقم المرجعي 2922.",safe
SAR 500 was successfully transferred from your الإنماء account. Ref 8408.,safe
شكرًا لتعاملكم مع الإنماء. رصيدكم الحالي متاح عبر التطبيق الرسمي، رقم الطلب 7852.,safe
الإنماء Alert: your card will be blocked in 24h unless you confirm your identity: alinma-secure.xyz,phishing
"SAR 10,000 was successfully transferred from your الإنماء account. Ref 3831.",safe
Congratulations! You won SAR 500 from الإنماء. Claim here: alinma-secure.xyz,phishing
Your الإنماء OTP is 5006. Do not share it with anyone.,safe
"Urgent Alinma notice: suspicious transfer of SAR 25,000 detected, cancel here: alinma-update.top",phishing
"Thank you for banking with الإنماء. Check your balance in the official app, request 5670.",safe
بنك الإنماء: سيتم حظر بطاقتك خلال 24 ساعة ما لم تؤكد هويتك عبر: alinma-update.top,phishing
"Thank you for banking with Alinma. Check your balance in the official app, request 7581.",safe
"رسالة عاجلة من الإنماء: يوجد تحويل مشبوه بقيمة 5,000 ريال، أوقفه الآن من هنا: secure-alinma.info",phishing
Unusual activity detected on your الإنماء account. Update your info now: secure-alinma.info,phishing
تذكير: موعد سداد بطاقتك الائتمانية لدى Alinma خلال 1 أيام.,safe
رمز التحقق الخاص بك من بنك الإنماء هو 3616. لا تشاركه مع أحد.,safe
رمز التحقق الخاص بك من بنك Alinma هو 6140. لا تشاركه مع أحد.,safe
تنبيه: تم رصد نشاط غير معتاد على حسابك في بنك الإنماء. حدّث بياناتك الآن: secure-alinma.info,phishing
"مبروك! ربحت 5,000 ريال من بنك Alinma. اضغط هنا للمطالبة: bit.ly/verify-acc",phishing
"مبروك! ربحت 10,000 ريال من بنك الإنماء. اضغط هنا للمطالبة: secure-alinma.info",phishing
رمز التحقق الخاص بك من بنك الإنماء هو 7771. لا تشاركه مع أحد.,safe
"Urgent Alinma notice: suspicious transfer of SAR 1,200 detected, cancel here: alinma-secure.xyz",phishing
"SAR 10,000 was successfully transferred from your Alinma account. Ref 2964.",safe
Your الإنماء OTP is 2956. Do not share it with anyone.,safe
تم تحويل 500 ريال من حسابك بنجاح في Alinma. الرقم المرجعي 1844.,safe
"Congratulations! You won SAR 25,000 from الإنماء. Claim here: alinma-secure.xyz",phishing
"رسالة عاجلة من الإنماء: يوجد تحويل مشبوه بقيمة 1,200 ريال، أوقفه الآن من هنا: alinma-update.top",phishing
تذكير: موعد سداد بطاقتك الائتمانية لدى Alinma خلال 3 أيام.,safe
Your الإنماء OTP is 4678. Do not share it with anyone.,safe
Your Alinma OTP is 5979. Do not share it with anyone.,safe
رمز التحقق الخاص بك من بنك Alinma هو 3198. لا تشاركه مع أحد.,safe
بنك الإنماء: سيتم حظر بطاقتك خلال 24 ساعة ما لم تؤكد هويتك عبر: alinma-secure.xyz,phishing
SAR 500 was successfully transferred from your Alinma account. Ref 4792.,safe
"تم تحويل 1,200 ريال من حسابك بنجاح في الإنماء. الرقم المرجعي 6671.",safe
شكرًا لتعاملكم مع Alinma. رصيدكم الحالي متاح عبر التطبيق الرسمي، رقم الطلب 7116.,safe
شكرًا لتعاملكم مع Alinma. رصيدكم الحالي متاح عبر التطبيق الرسمي، رقم الطلب 5773.,safe
"SAR 1,200 was successfully transferred from your الإنماء account. Ref 5585.",safe
عزيزي عميل بنك الإنماء، حسابك سيتم إيقافه اليوم. يرجى التحقق فورًا عبر الرابط: secure-alinma.info,phishing
شكرًا لتعاملكم مع Alinma. رصيدكم الحالي متاح عبر التطبيق الرسمي، رقم الطلب 3525.,safe
Reminder: your Alinma credit card payment is due in 1 days.,safe
"Congratulations! You won SAR 5,000 from Alinma. Claim here: alinma-update.top",phishing
"تم تحويل 5,000 ريال من حسابك بنجاح في Alinma. الرقم المرجعي 8639.",safe
"SAR 5,000 was successfully transferred from your الإنماء account. Ref 4594.",safe
"تم تحويل 1,200 ريال من حسابك بنجاح في Alinma. الرقم المرجعي 7775.",safe
رمز التحقق الخاص بك من بنك Alinma هو 1084. لا تشاركه مع أحد.,safe
"Congratulations! You won SAR 10,000 from Alinma. Claim here: secure-alinma.info",phishing
Your الإنماء OTP is 1439. Do not share it with anyone.,safe
تم تحويل 500 ريال من حسابك بنجاح في Alinma. الرقم المرجعي 7244.,safe
