amount,is_new_recipient,country,device_type,device_trust_score,transaction_hour,prior_transaction_count,is_fraud
345.81,0,NG,mobile,67.9,14,185,0
2003.72,0,SA,web,65.5,17,108,0
721.02,1,SA,web,82.7,18,36,0
534.76,0,UK,web,61.8,7,113,0
575.32,0,SA,atm,85.9,9,28,0
962.01,0,SA,atm,63.3,20,142,0
1463.96,0,AE,mobile,75.5,16,20,0
1164.36,0,SA,mobile,89.8,19,11,0
484.03,0,NG,mobile,96.1,17,112,0
280.43,0,SA,web,70.5,11,15,0
1445.82,0,PK,atm,74.8,16,177,0
133.13,0,SA,web,68.2,7,87,0
627.19,0,SA,atm,63.9,16,19,0
1329.32,0,PK,atm,63.5,6,182,0
3032.32,0,SA,atm,79.2,8,126,0
180.04,1,SA,web,91.9,15,41,0
1042.23,1,SA,atm,66.0,10,116,0
1154.97,1,SA,web,99.2,21,69,0
827.18,0,SA,web,61.4,21,43,0
264.45,0,SA,web,65.0,10,23,0
254.7,0,SA,web,64.2,17,47,0
4638.83,0,PK,atm,90.0,10,149,0
2180.67,0,UK,web,77.0,8,21,0
521.96,0,SA,web,62.0,10,198,0
173.55,0,SA,web,79.3,21,78,0
143.04,0,SA,mobile,95.0,11,82,0
239.09,1,AE,atm,93.3,16,168,0
708.84,1,SA,web,70.8,13,110,0
3043.98,0,SA,web,65.9,8,127,0
1048.47,1,AE,mobile,83.2,8,77,0
15921.81,1,NG,mobile,58.3,5,7,1
1601.97,1,AE,mobile,77.6,8,143,0
408.5,0,SA,atm,61.1,15,141,0
238.92,0,SA,web,77.3,13,102,0
1045.47,0,SA,web,77.1,8,88,0
1201.97,1,SA,mobile,16.2,3,8,1
443.12,0,PK,mobile,83.9,6,137,0
1248.84,0,SA,mobile,98.9,12,76,0
192.53,0,SA,web,66.7,9,88,0
2000.61,0,SA,atm,90.4,18,82,0
656.14,0,SA,atm,88.9,16,166,0
332.46,0,SA,atm,89.8,12,100,0
568.76,0,PK,atm,82.5,16,5,0
2057.96,0,SA,atm,86.9,20,139,0
583.17,1,UK,web,86.7,19,86,0
507.54,0,SA,mobile,72.3,11,169,0
3494.83,1,SA,atm,72.4,12,19,0
2676.89,0,PK,mobile,88.5,12,114,0
1748.7,0,SA,atm,75.7,10,89,0
918.7,0,SA,atm,94.1,14,69,0
1633.02,0,SA,web,84.3,18,141,0
1384.53,0,SA,web,98.3,13,105,0
468.57,0,SA,atm,65.6,10,132,0
486.35,0,IN,mobile,83.7,7,39,0
9855.04,1,PK,mobile,0.7,1,9,1
245.66,0,SA,atm,78.3,16,7,0
516.91,0,SA,web,79.5,20,198,0
1644.83,0,SA,mobile,97.5,21,37,0
304.1,0,SA,atm,98.2,16,28,0
2797.54,0,SA,atm,90.5,12,149,0
1091.87,0,SA,web,95.2,14,164,0
210.34,0,SA,web,94.1,18,191,0
934.11,0,IN,atm,84.4,16,72,0
5093.24,0,SA,web,74.2,21,158,0
267.49,0,PK,web,99.0,16,140,0
2117.21,0,AE,mobile,73.5,8,121,0
526.85,0,SA,mobile,67.8,19,59,0
958.16,0,SA,atm,83.1,10,64,0
1060.09,0,IN,mobile,85.9,12,178,0
4536.69,1,NG,web,4.4,4,5,1
190.57,0,NG,mobile,67.0,8,69,0
804.47,0,SA,atm,76.7,17,153,0
791.03,0,SA,mobile,63.3,15,117,0
1083.4,0,SA,atm,82.2,20,142,0
2696.61,0,EG,mobile,79.1,14,107,0
223.89,1,PK,web,93.9,14,141,0
679.78,1,SA,atm,68.7,15,38,0
1952.69,0,SA,web,97.6,12,48,0
825.63,0,SA,atm,63.1,7,179,0
161.03,0,SA,mobile,89.5,12,16,0
770.46,1,SA,mobile,84.1,16,177,0
101.16,0,SA,web,98.0,16,148,0
231.41,1,SA,web,85.6,10,169,0
791.98,0,SA,mobile,67.2,8,41,0
440.38,0,EG,web,87.1,19,196,0
197.1,0,SA,atm,68.3,16,136,0
744.99,0,SA,mobile,98.8,19,43,0
390.3,0,SA,mobile,82.1,16,146,0
1463.29,0,SA,atm,99.5,20,132,0
4357.44,0,UK,web,80.7,19,22,0
605.26,0,SA,mobile,95.6,20,41,0
1479.33,0,SA,atm,97.0,13,31,0
194.53,0,SA,atm,70.0,7,41,0
1219.35,0,IN,web,81.8,21,78,0
1177.49,0,SA,atm,80.1,13,95,0
383.01,0,SA,atm,78.9,9,13,0
22645.94,1,PK,atm,33.5,22,2,1
1626.64,0,SA,mobile,81.8,8,32,0
441.75,1,SA,mobile,81.0,20,180,0
1750.63,1,US,mobile,47.6,3,3,1
272.39,0,EG,atm,84.4,17,155,0
343.74,0,SA,mobile,63.0,18,121,0
718.04,1,SA,web,95.3,21,122,0
229.18,0,SA,atm,90.5,12,129,0
1242.13,1,SA,atm,96.1,10,165,0
493.25,0,SA,mobile,89.3,11,151,0
1040.27,0,SA,atm,83.5,20,192,0
523.84,0,SA,mobile,84.2,6,177,0
827.2,0,SA,atm,62.7,12,81,0
2525.58,0,SA,web,86.6,21,24,0
469.32,0,AE,web,70.7,16,119,0
561.06,0,UK,web,72.8,10,152,0
1790.48,1,AE,mobile,74.6,13,198,0
1360.21,0,AE,web,66.0,14,91,0
186.47,0,SA,web,64.7,7,145,0
1215.21,0,AE,atm,98.0,6,103,0
341.11,0,AE,mobile,72.6,17,176,0
1741.77,0,SA,mobile,82.1,11,134,0
398.33,0,SA,mobile,80.1,11,98,0
1434.95,0,SA,mobile,89.0,19,20,0
298.65,0,SA,atm,99.3,11,6,0
1035.58,0,SA,atm,94.1,21,51,0
1262.99,0,SA,atm,94.2,11,88,0
3718.85,0,SA,web,94.3,13,155,0
133.18,0,SA,mobile,93.7,14,10,0
562.19,0,SA,web,66.4,13,10,0
234.84,0,PK,web,70.4,15,73,0
501.56,0,SA,mobile,64.6,13,103,0
800.65,0,SA,atm,73.1,9,136,0
376.28,0,SA,atm,73.0,16,199,0
908.88,0,SA,mobile,75.2,19,100,0
385.55,0,SA,atm,95.5,17,195,0
2113.15,0,SA,web,68.4,13,113,0
305.93,1,SA,web,98.5,14,174,0
649.83,0,SA,web,96.1,8,115,0
1015.43,1,SA,mobile,72.5,8,178,0
2959.56,0,IN,web,63.8,20,55,0
621.59,0,SA,atm,61.9,21,100,0
200.46,0,SA,mobile,73.2,19,90,0
378.63,0,SA,atm,79.0,8,43,0
247.58,0,SA,mobile,96.5,17,149,0
1480.39,0,SA,atm,80.7,9,66,0
5945.94,0,AE,mobile,97.5,17,39,0
600.53,0,NG,web,78.6,6,46,0
164.91,0,SA,web,97.6,19,78,0
3552.82,1,PK,mobile,69.3,9,135,0
2905.83,0,SA,atm,83.7,19,39,0
1468.99,0,SA,atm,63.7,14,184,0
70.6,0,SA,web,79.3,12,155,0
2233.47,0,IN,web,76.0,21,141,0
699.34,0,AE,mobile,73.3,19,23,0
485.97,0,SA,atm,90.1,13,24,0
1675.7,0,SA,atm,72.0,16,76,0
1204.49,0,SA,web,64.5,18,73,0
646.07,0,SA,web,88.6,10,127,0
229.91,0,PK,atm,65.5,18,92,0
1065.17,0,PK,mobile,95.0,8,94,0
1126.82,0,SA,web,66.0,21,74,0
13999.0,1,SA,atm,17.9,23,8,1
184.12,0,SA,web,73.2,17,113,0
564.11,0,SA,atm,60.5,7,147,0
211.2,0,PK,atm,67.1,19,23,0
1227.67,0,AE,web,86.8,13,64,0
263.68,0,SA,atm,97.4,17,137,0
796.39,0,IN,mobile,72.8,13,126,0
2284.49,0,AE,atm,84.4,15,64,0
1067.18,0,SA,mobile,65.7,19,42,0
785.67,0,SA,atm,61.6,13,166,0
616.65,0,SA,mobile,91.0,6,57,0
1409.23,0,SA,web,81.8,17,101,0
1097.24,1,SA,web,88.7,20,126,0
429.61,0,SA,atm,96.5,21,81,0
203.97,0,SA,mobile,81.8,19,124,0
671.84,0,PK,web,93.4,18,168,0
794.89,1,SA,atm,88.5,8,13,0
342.33,0,IN,atm,97.4,13,19,0
534.28,0,PK,atm,97.9,11,39,0
1072.82,0,SA,atm,72.2,8,63,0
604.33,0,SA,web,60.5,11,159,0
2942.72,0,SA,web,61.0,18,14,0
1613.09,1,AE,web,68.7,15,146,0
672.77,0,SA,mobile,73.8,19,169,0
224.71,0,SA,web,92.1,20,155,0
61.78,0,SA,atm,91.1,19,149,0
11744.49,0,SA,mobile,57.5,2,4,1
227.4,0,IN,web,80.3,18,88,0
1794.26,0,PK,atm,83.9,20,39,0
174.97,0,SA,mobile,88.0,7,25,0
745.39,0,AE,web,90.5,20,84,0
1203.95,1,SA,mobile,87.9,12,55,0
723.22,0,PK,mobile,91.7,17,141,0
906.78,0,SA,mobile,82.5,6,183,0
997.24,0,SA,web,74.4,6,43,0
783.17,1,SA,mobile,78.8,6,114,0
684.39,0,AE,atm,95.5,16,74,0
312.14,0,SA,web,79.0,12,100,0
252.01,0,SA,atm,95.4,16,47,0
1649.08,0,PK,web,80.6,19,104,0
837.48,1,SA,mobile,81.9,13,111,0
385.91,0,SA,atm,68.7,16,92,0
1055.98,0,SA,web,80.6,15,25,0
768.43,1,SA,mobile,80.2,10,151,0
1334.22,0,SA,atm,90.3,20,41,0
907.24,0,SA,atm,70.7,7,154,0
559.78,0,SA,atm,61.4,20,85,0
457.31,0,SA,mobile,91.2,18,21,0
391.7,0,AE,atm,87.7,9,107,0
615.25,0,NG,atm,79.2,14,125,0
1422.64,1,SA,web,81.2,14,67,0
751.43,0,PK,atm,98.6,9,73,0
2658.36,0,SA,web,98.7,21,28,0
5000.05,0,SA,atm,83.2,13,84,0
820.04,0,UK,atm,73.2,11,134,0
533.89,0,SA,atm,66.7,9,90,0
1776.65,1,SA,atm,95.7,18,47,0
2784.67,0,SA,atm,97.9,19,25,0
299.5,0,PK,atm,100.0,10,97,0
531.61,0,SA,atm,61.3,19,72,0
924.5,0,UK,web,94.9,6,74,0
1150.84,0,SA,web,74.3,20,116,0
780.79,0,SA,web,90.1,7,90,0
515.57,0,AE,atm,77.8,11,43,0
269.93,0,SA,mobile,80.2,20,104,0
1639.78,0,EG,atm,70.3,10,158,0
2051.82,0,SA,mobile,71.6,10,19,0
83.7,0,SA,mobile,99.9,7,116,0
490.21,0,SA,web,63.8,10,143,0
689.19,0,SA,mobile,71.1,13,191,0
106.02,0,SA,web,68.7,12,25,0
1101.35,0,NG,mobile,66.5,11,22,0
1007.25,0,SA,web,89.9,11,185,0
689.85,0,SA,atm,63.1,10,45,0
2071.12,0,SA,web,60.6,14,154,0
135.65,0,AE,mobile,81.4,14,52,0
495.81,0,SA,atm,70.1,6,195,0
1017.1,1,SA,web,86.6,21,33,0
529.87,0,AE,web,69.5,18,6,0
97.16,0,SA,mobile,87.3,18,79,0
220.79,0,IN,web,100.0,19,150,0
893.61,0,SA,atm,96.1,10,143,0
717.31,0,AE,mobile,92.1,11,131,0
466.06,0,PK,mobile,73.0,14,108,0
1446.6,1,PK,atm,85.0,19,185,0
2777.31,0,SA,web,86.3,14,127,0
2267.21,0,SA,mobile,73.4,10,14,0
1231.24,1,PK,web,84.8,8,22,0
200.29,0,AE,mobile,85.0,18,80,0
171.43,0,SA,web,74.0,18,93,0
636.24,0,UK,atm,60.5,19,68,0
188.58,0,SA,mobile,93.9,15,58,0
285.15,0,SA,web,79.7,20,117,0
1484.37,0,SA,atm,95.0,15,98,0
1498.93,0,EG,web,66.8,17,19,0
932.58,0,SA,mobile,63.2,7,75,0
758.34,0,SA,mobile,88.6,7,81,0
1178.9,0,SA,mobile,95.9,6,85,0
389.37,0,SA,mobile,63.3,21,167,0
199.26,0,AE,mobile,60.0,14,140,0
2242.24,0,IN,mobile,79.6,20,160,0
404.82,0,SA,web,97.3,15,138,0
636.43,1,UK,web,66.0,8,158,0
195.11,0,AE,atm,97.5,7,118,0
1786.4,0,AE,mobile,91.1,6,182,0
2085.37,0,SA,atm,84.2,13,138,0
902.46,0,SA,mobile,94.3,8,73,0
341.21,0,SA,atm,91.9,7,112,0
356.03,0,SA,web,63.6,14,59,0
578.86,0,NG,web,88.1,20,51,0
268.94,0,IN,web,89.7,12,46,0
380.3,0,SA,mobile,81.0,6,160,0
1507.03,0,SA,atm,84.0,9,65,0
438.32,0,SA,atm,68.4,10,36,0
451.8,0,UK,atm,62.1,19,6,0
227.32,0,SA,atm,73.2,14,70,0
467.76,0,SA,web,96.7,9,122,0
332.7,0,SA,web,71.8,18,165,0
1064.03,0,SA,mobile,79.5,16,184,0
200.73,0,IN,web,91.1,8,147,0
639.85,1,NG,atm,92.0,9,19,0
1150.94,1,SA,web,62.9,6,129,0
844.07,0,AE,atm,60.9,18,28,0
273.15,0,SA,mobile,93.0,20,166,0
852.46,1,SA,web,77.8,9,193,0
381.94,0,PK,atm,85.4,20,99,0
1085.89,0,SA,mobile,68.4,18,186,0
2506.09,0,SA,web,88.2,16,17,0
614.18,1,SA,web,98.0,15,86,0
5021.66,0,SA,web,75.2,15,76,0
743.07,0,SA,atm,91.8,11,148,0
2091.47,0,SA,web,61.0,12,21,0
352.56,0,SA,atm,75.2,9,134,0
319.31,0,SA,atm,92.5,20,101,0
880.7,0,SA,web,70.5,19,119,0
493.31,0,SA,web,61.3,16,174,0
248.21,0,SA,mobile,83.4,8,151,0
1333.73,0,SA,mobile,98.1,20,8,0
1926.91,0,US,web,71.4,11,15,0
317.92,0,SA,atm,90.0,20,108,0
3128.95,0,SA,mobile,92.8,16,59,0
297.34,0,AE,mobile,74.3,9,66,0
201.89,0,PK,web,62.7,8,140,0
2013.35,0,SA,mobile,69.6,6,183,0
663.95,1,SA,mobile,79.8,8,48,0
373.84,0,SA,mobile,87.6,16,106,0
1484.37,0,SA,atm,80.5,11,44,0
229.0,0,SA,mobile,87.6,16,120,0
1197.17,1,SA,atm,56.4,23,8,1
871.15,1,SA,mobile,67.4,16,191,0
540.31,1,SA,web,86.0,12,28,0
207.13,1,SA,atm,74.9,8,22,0
924.4,0,SA,mobile,97.6,17,57,0
1222.43,0,SA,atm,63.7,14,85,0
1873.84,0,SA,web,98.1,8,97,0
1451.81,0,SA,mobile,96.5,12,93,0
597.0,0,IN,web,89.2,21,121,0
73960.87,1,US,web,33.6,0,9,1
656.08,0,SA,atm,70.2,11,31,0
127.24,0,NG,mobile,96.9,21,106,0
339.75,0,SA,atm,97.2,16,45,0
882.32,0,SA,mobile,62.3,18,42,0
479.88,1,SA,web,66.7,11,130,0
946.6,0,SA,mobile,80.9,19,31,0
454.62,0,SA,web,90.0,13,136,0
1101.78,0,US,mobile,97.4,15,176,0
289.81,0,SA,atm,64.4,10,21,0
94.06,0,SA,atm,77.3,15,30,0
3599.25,0,SA,atm,99.3,16,139,0
343.99,0,SA,web,79.9,19,73,0
553.11,0,SA,mobile,63.3,17,160,0
315.01,0,SA,mobile,76.5,16,84,0
1507.63,0,EG,web,96.4,13,61,0
906.34,0,SA,web,96.9,19,13,0
821.7,0,SA,mobile,95.1,8,183,0
1177.92,0,SA,atm,67.7,20,70,0
357.78,0,SA,atm,63.8,20,88,0
298.29,1,SA,atm,79.1,8,57,0
677.75,0,SA,web,62.1,14,92,0
772.14,1,EG,atm,88.6,10,118,0
9006.45,1,SA,atm,59.4,1,8,1
837.81,1,SA,atm,77.4,13,41,0
424.44,0,SA,mobile,62.5,9,13,0
513.92,0,SA,atm,76.7,7,35,0
2983.57,0,SA,web,71.2,10,124,0
17031.77,0,NG,web,14.5,4,7,1
219.73,0,SA,atm,74.1,10,50,0
3061.35,1,SA,atm,33.6,23,7,1
736.47,0,SA,mobile,87.5,8,124,0
501.37,0,SA,atm,89.2,10,130,0
1150.03,0,SA,web,98.9,12,134,0
521.27,0,SA,web,90.2,15,86,0
285.27,0,SA,atm,89.5,7,158,0
3141.33,0,SA,mobile,63.4,12,90,0
7700.31,0,IN,mobile,8.1,23,1,1
373.07,0,SA,atm,79.9,7,148,0
701.83,1,SA,atm,86.7,16,122,0
414.49,0,SA,web,68.1,8,47,0
1368.01,1,SA,mobile,67.2,19,159,0
1069.25,1,SA,atm,61.0,10,176,0
557.48,1,SA,web,95.4,20,91,0
335.64,0,AE,mobile,70.8,19,135,0
1386.13,0,SA,atm,90.9,7,76,0
809.47,0,SA,mobile,81.8,13,165,0
1128.9,0,NG,mobile,99.3,14,14,0
331.11,0,SA,atm,62.8,11,142,0
1218.48,0,SA,web,99.5,16,23,0
542.23,0,SA,atm,63.1,11,110,0
707.6,0,IN,atm,72.4,11,197,0
530.67,0,SA,atm,68.5,16,137,0
612.71,0,SA,web,70.2,7,92,0
157.07,0,SA,atm,96.3,12,39,0
394.24,0,SA,mobile,90.9,19,84,0
1484.62,0,SA,atm,84.6,14,55,0
3965.04,0,SA,mobile,96.4,14,165,0
320.98,0,SA,atm,79.7,7,110,0
135.03,0,SA,mobile,74.7,10,20,0
1400.69,1,IN,atm,97.8,19,196,0
807.54,0,SA,mobile,73.8,14,85,0
254.52,0,SA,atm,93.3,14,91,0
437.47,0,SA,mobile,77.4,7,134,0
409.77,0,SA,atm,79.3,13,12,0
633.42,0,SA,web,98.4,6,152,0
1787.75,0,IN,web,63.3,18,12,0
330.1,0,US,atm,81.1,13,190,0
1355.25,0,SA,atm,68.4,12,45,0
533.68,0,SA,mobile,95.3,6,150,0
143.42,0,PK,atm,93.8,18,176,0
406.82,0,UK,atm,87.0,16,119,0
1372.57,0,AE,web,81.4,11,31,0
1390.15,0,EG,mobile,73.2,7,161,0
1606.07,0,EG,atm,63.1,21,31,0
1062.21,0,SA,web,62.1,9,102,0
67571.11,1,SA,mobile,2.7,4,4,1
585.28,0,SA,web,68.3,16,119,0
603.38,0,SA,atm,90.7,6,5,0
109.03,0,SA,web,91.8,21,50,0
779.15,0,AE,mobile,82.5,16,18,0
144.73,0,SA,mobile,96.9,9,91,0
8162.62,0,SA,atm,92.6,20,28,0
1139.68,0,SA,web,79.5,7,87,0
1019.12,0,SA,web,69.4,21,133,0
1856.64,0,PK,atm,95.2,7,21,0
121.84,0,SA,mobile,76.4,11,182,0
300.3,0,SA,atm,63.9,18,45,0
2062.45,0,SA,atm,62.5,13,95,0
1942.32,0,SA,atm,61.3,13,34,0
565.28,0,SA,atm,74.5,13,39,0
423.88,1,SA,web,85.3,10,159,0
976.21,1,SA,web,95.9,8,70,0
4606.76,0,AE,web,98.9,15,6,0
4628.14,0,SA,mobile,88.3,13,196,0
545.32,0,IN,atm,76.3,7,155,0
